x;y
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
808;438
738,2222;486,6667
738,2222;486,6667
684,2;525,6
684,2;525,6
637,4545;557,4545
637,4545;557,4545
637,4545;557,4545
637,4545;557,4545
601;584
601;584
569,8461;606,4615
545,6429;625,7143
524,7333;642,4
524,7333;642,4
489,5333;671,6
466,7857;688,2857
456,6667;700,8
456,6667;700,8
448,6875;711,75
448,6875;711,75
439,4706;721,4117
439,4706;721,4117
439,4706;721,4117
415,0588;747,1765
415,0588;747,1765
393,1176;772,9412
393,1176;772,9412
392,1111;778,6667
367,6471;798,7059
370,1667;803
344,4118;824,4706
348,5555;827,3333
321,5294;850,2353
324,8333;851,6667
296,4118;876
302,7222;876
302,7222;876
302,7222;876
307,6316;876
307,6316;876
316,3158;876
316,3158;876
325,1579;876
328,45;876
336,7895;876
338,75;876
338,75;876
338,75;876
347,4;876
347,4;876
357,75;876
364,4211;876
372,9474;876
372,9474;876
378,1111;876
380,8421;876
384,5;876
385,2105;876
388,3333;876
390,5263;876
396;876
395,1053;876
395,1053;876
394;876
394;876
391,7222;876
392,2105;876
393,1667;876
392,5263;876
391,3889;876
390,3158;876
386,8947;876
386,8947;876
387,2222;876
387,2222;876
386,2222;876
385,4737;876
385,4737;876
381,4211;876
381,4211;876
383,4445;876
380,7895;876
378,3158;876
377,6111;876
371,2632;876
371;876
363,1053;876
363,1053;876
355,4211;876
355,4211;876
352,7778;876
345,4737;876
335,3158;876
335,3158;876
335,3158;876
322,9474;876
322,9474;876
305,9474;876
305,9474;876
288,3684;876
288,3684;876
283,3333;876
269,8947;876
264,2222;876
253;876
253;876
231,8947;876
231,8947;876
214,2632;876
214,2632;876
205,5556;876
189,6667;876
182,7368;876
182,7368;876
182,7368;876
171,1111;876
159,2941;876
159,2941;876
149,3125;876
149,3125;876
149,3125;876
128,5;876
115,8;876
108,5625;876
98,66666;876
98,66666;876
89,92857;876
83,93333;876
73,71429;876
68,8;876
68,8;876
58,42857;876
47,46154;876
47,46154;876
47,46154;876
35,16667;876
35,16667;876
31,54545;876
28,91667;876
22,81818;876
22,81818;876
22,81818;876
22,3;876
22,3;876
19,11111;876
19,11111;876
21,5;876
21,5;876
18;876
18;876
18;876
9,666667;876
0;876
0;876
0;876
0;876
0;876
0;876
0;876
17,42857;876
17,42857;876
30,28572;876
30,28572;876
55,85714;876
55,85714;876
72,875;876
72,875;876
83,28571;876
83,28571;876
112,2857;876
112,2857;876
112,2857;876
112,2857;876
112,2857;876
127,75;876
127,75;876
140,1111;876
140,1111;876
157,625;876
173;876
173;876
186,6;876
186,6;876
186,6;876
186,6;876
186,6;876
186,6;876
197,3636;876
197,3636;876
207,6667;876
207,6667;876
216,7692;876
234,8333;876
242,0769;876
242,0769;876
247,4286;876
247,4286;876
247,4286;876
252,4667;876
261,7857;876
261,7857;876
275;876
277,1429;876
284,6923;876
284,6923;876
292,4167;876
290,6154;876
290,6154;876
290,6154;876
293,4615;876
293,4615;876
287,7857;876
287,7857;876
287,7857;876
291,7692;876
280,8571;876
284,0769;876
284,0769;876
284,0769;876
271,6154;876
271,6154;876
257,1538;876
257,1538;876
244,8571;876
244,8571;876
244,8571;876
233,6;876
228,5;876
228,5;876
221,3846;876
208,7143;876
199,6923;876
187,3571;876
176,4615;876
164;876
152,2308;876
141,3571;876
141,3571;876
118,2857;876
118,2857;876
118,2857;876
110,4;876
96,5;876
90,06667;876
90,06667;876
84,4375;876
72,13333;876
67,9375;876
67,9375;876
54,625;876
54,625;876
43,5625;876
43,5625;876
44,88235;876
44,88235;876
39;876
39;876
42,82353;876
42,82353;876
42,88235;876
42,88235;876
47,58823;876
47,58823;876
52,41177;876
52,41177;876
52,41177;876
61,64706;876
61,64706;876
71,55556;876
71,55556;876
86,05556;876
86,05556;876
101,6667;876
101,6667;876
120;876
120;876
140,8889;876
140,8889;876
161,4444;876
161,4444;876
161,4444;876
181,4444;876
181,4444;876
192,1176;876
192,1176;876
214,4706;876
214,4706;876
239,8824;876
239,8824;876
262,2353;876
262,2353;876
284,8824;876
284,8824;876
303,0588;876
303,0588;876
303,0588;876
309,4445;876
321,5294;876
326,3333;876
337,5882;876
338,1111;876
346,1765;876
349,2778;876
360;876
360,5555;876
360,5555;876
367,7778;876
367,7778;876
375,2941;876
374,0555;876
378,1176;876
376,0555;876
380,0588;876
377,7778;876
380,4706;876
378,7222;876
378,8824;876
378,8824;876
379,4375;876
375,9412;876
375,9412;876
376,9375;876
371,0588;876
371,0588;876
371,0588;876
370,5;876
370,5;876
366,0667;876
366,0667;876
363,1429;876
363,1429;876
358,6154;876
358,6154;876
345,7692;876
335,2857;876
335,2857;876
320,0714;876
320,0714;876
313,3077;876
305,7857;876
302,6154;876
296,9286;876
288,8462;876
288,8462;876
282,0833;876
282,0833;876
274,7273;876
268,8333;876
268,8333;876
261,1818;876
256,5;876
248,8182;876
245,4167;876
236,9091;876
232,3333;876
221,7273;876
221,7273;876
221,7273;876
221,7273;876
211,9;876
209,9091;876
209,9091;876
203,4545;876
203,4545;876
205,4167;876
205,4167;876
205,3077;876
205,3077;876
204,6429;876
204,6429;876
204,6429;876
204,6429;876
204,6429;876
204,3846;876
204,8333;876
204,8333;876
204,8182;876
200,6667;876
200,6667;876
198,25;876
198,25;876
198,0833;876
198,0833;876
199,8462;876
199,8462;876
199,8462;876
201,3571;876
201,1538;876
202,5714;876
202,5714;876
202,3846;876
202,3846;876
203,3846;876
203,3846;876
206,3846;876
206,3846;876
206,3846;876
206,3846;876
206,3846;876
207,4286;876
208,7692;876
208,7692;876
209;876
209;876
207,3636;876
208,5;876
208,9091;876
209,9167;876
211,1818;876
212;876
212;876
212,6923;876
212,6923;876
212,6923;876
212,6923;876
212,6923;876
212,6923;876
217,5;876
217,5;876
221;876
230,6667;876
231,5455;876
241,8333;876
243,7273;876
252;876
252;876
269,9167;876
269,9167;876
274,3636;876
274,3636;876
274,3636;876
274,3636;876
279,7;876
279,7;876
286,2222;876
303,6;876
303,6;876
319,0909;876
319,0909;876
339,3636;876
339,3636;876
351;876
351;876
361,3846;876
361,3846;876
380;876
380;876
401,1538;876
401,1538;876
418,3077;876
